Serial_Reading,_18b20_Temp_C ,_18b20_Temp_Fh, Current_humidity,Object_Temperature,NW_cooling,Critical_Level
173,-11.25,11.75,0.51,-11.25,0,0.705322586
174,-11.25,11.75,0.51,-11.25,0,0.635545839
175,-11.25,11.75,0.51,-11.25,0,0.531336021
176,-11.25,11.75,0.51,-11.25,0,0.577543251
177,-11.25,11.75,0.51,-11.25,0,0.04141428
178,-11.25,11.75,0.51,-11.25,0,0.320993513
179,-11.25,11.75,0.51,-11.25,0,0.703654004
180,-11.25,11.75,0.52,-11.25,0,0.032630032
181,-11.25,11.75,0.52,-11.25,0,0.302514538
182,-11.25,11.75,0.52,-11.25,0,0.885270881
183,-11.25,11.75,0.52,-11.25,0,0.218230577
184,-11.25,11.75,0.52,-11.25,0,0.146879392
185,-11.25,11.75,0.52,-11.25,0,0.781381721
186,-11.25,11.75,0.52,-11.25,0,0.326407605
187,-11.25,11.75,0.52,-11.25,0,0.063760831
188,-11.25,11.75,0.52,-11.25,0,0.284655902
189,-11.25,11.75,0.52,-11.25,0,0.457539255
190,-11.25,11.75,0.52,-11.25,0,0.262216478
191,-11.25,11.75,0.52,-11.25,0,0.539446846
192,-11.25,11.75,0.52,-11.25,0,0.88226804
193,-11.25,11.75,0.52,-11.25,0,0.690191626
194,-11.25,11.75,0.52,-11.25,0,0.22249268
195,-11.25,11.75,0.53,-11.25,0,0.183280866
196,-11.25,11.75,0.53,-11.25,0,0.555847038
197,-11.25,11.75,0.53,-11.25,0,0.223895294
198,-11.25,11.75,0.53,-11.25,0,0.985512731
199,-11.25,11.75,0.53,-11.25,0,0.557046918
200,-11.25,11.75,0.53,-11.25,0,0.703465386
201,-11.25,11.75,0.53,-11.25,0,0.142583339
202,-11.25,11.75,0.53,-11.25,0,0.160953151
203,-11.25,11.75,0.53,-11.25,0,0.220291651
204,-11.25,11.75,0.53,-11.25,0,0.035027375
205,-11.25,11.75,0.53,-11.25,0,0.340406585
206,-11.25,11.75,0.53,-11.25,0,0.73581965
207,-11.25,11.75,0.53,-11.25,0,0.018600875
208,-11.25,11.75,0.53,-11.25,0,0.973898579
209,-11.25,11.75,0.53,-11.25,0,0.549461296
210,-11.25,11.75,0.53,-11.25,0,0.854309959
211,-11.25,11.75,0.53,-11.25,0,0.981217274
212,-11.25,11.75,0.53,-11.25,0,0.920757292
213,-11.25,11.75,0.54,-11.25,0,0.652956289
214,-11.25,11.75,0.54,-11.25,0,0.923828708
215,-11.25,11.75,0.54,-11.25,0,0.913139115
216,-11.25,11.75,0.54,-11.25,0,0.455258552
217,-11.25,11.75,0.54,-11.25,0,0.671179753
218,-11.25,11.75,0.54,-11.25,0,0.241213844
219,-11.25,11.75,0.54,-11.25,0,0.158232188
220,-11.25,11.75,0.54,-11.25,0,0.508472735
221,-11.25,11.75,0.54,-11.25,0,0.277798655
222,-11.25,11.75,0.54,-11.25,0,0.602005179
223,-11.25,11.75,0.54,-11.25,0,0.726323046
224,-11.25,11.75,0.54,-11.25,0,0.958895302
225,-11.25,11.75,0.54,-11.25,0,0.673075761
226,-11.25,11.75,0.54,-11.25,0,0.28380921
227,-11.25,11.75,0.54,-11.25,0,0.014917653
228,-11.25,11.75,0.54,-11.25,0,0.159398079
229,-11.25,11.75,0.54,-11.25,0,0.26703715
230,-11.25,11.75,0.54,-11.25,0,0.137378071
231,-11.25,11.75,0.54,-11.25,0,0.727249116
232,-11.25,11.75,0.54,-11.25,0,0.437619581
233,-11.25,11.75,0.54,-11.25,0,0.926059208
234,-11.25,11.75,0.54,-11.25,0,0.00207818
235,-11.25,11.75,0.54,-11.25,0,0.775326311
236,-11.25,11.75,0.54,-11.25,0,0.205411421
237,-11.25,11.75,0.54,-11.25,0,0.884062525
238,-11.25,11.75,0.54,-11.25,0,0.038840657
239,-11.25,11.75,0.54,-11.25,0,0.738897775
240,-11.25,11.75,0.55,-11.25,0,0.442157369
241,-11.25,11.75,0.55,-11.25,0,0.250245126
242,-11.25,11.75,0.55,-11.25,0,0.343771549
243,-11.25,11.75,0.55,-11.25,0,0.865009517
244,-11.25,11.75,0.55,-11.25,0,0.858200273
245,-11.25,11.75,0.55,-11.25,0,0.314211472
246,-11.25,11.75,0.55,-11.25,0,0.119070443
247,-11.25,11.75,0.55,-11.25,0,0.04194708
248,-11.25,11.75,0.55,-11.25,0,0.160210881
249,-11.25,11.75,0.55,-11.25,0,0.702060416
250,-11.25,11.75,0.55,-11.25,0,0.45680178
251,-11.25,11.75,0.55,-11.25,0,0.126443546
252,-11.25,11.75,0.55,-11.25,0,0.846880468
253,-11.25,11.75,0.55,-11.25,0,0.350965162
254,-11.25,11.75,0.55,-11.25,0,0.223815752
255,-11.25,11.75,0.55,-11.25,0,0.288793265
256,-11.25,11.75,0.55,-11.25,0,0.886159251
257,-11.25,11.75,0.55,-11.25,0,0.836710892
258,-11.25,11.75,0.55,-11.25,0,0.002764977
259,-11.25,11.75,0.55,-11.25,0,0.439849741
260,-11.25,11.75,0.55,-11.25,0,0.569943657
261,-11.25,11.75,0.55,-11.25,0,0.469381393
262,-11.25,11.75,0.55,-11.25,0,0.119708783
263,-11.25,11.75,0.55,-11.25,0,0.131312464
264,-11.25,11.75,0.55,-11.25,0,0.560125667
265,-11.25,11.75,0.55,-11.25,0,0.196279194
266,-11.25,11.75,0.55,-11.25,0,0.53484932
267,-11.25,11.75,0.55,-11.25,0,0.573320184
268,-11.25,11.75,0.55,-11.25,0,0.130223815
269,-11.25,11.75,0.55,-11.25,0,0.691181138
270,-11.25,11.75,0.55,-11.25,0,0.924431406
271,-11.25,11.75,0.55,-11.25,0,0.054905245
272,-11.25,11.75,0.55,-11.25,0,0.976626842
273,-11.25,11.75,0.55,-11.25,0,0.153938882
274,-11.25,11.75,0.55,-11.25,0,0.394592307
275,-11.25,11.75,0.55,-11.25,0,0.916288904
276,-11.25,11.75,0.55,-11.25,0,0.753972957
277,-11.25,11.75,0.55,-11.25,0,0.753918658
278,-11.25,11.75,0.55,-11.25,0,0.865404091
279,-11.25,11.75,0.55,-11.25,0,0.292723909
280,-11.25,11.75,0.55,-11.25,0,0.833591293
281,-11.25,11.75,0.55,-11.25,0,0.6781741
282,-11.25,11.75,0.55,-11.25,0,0.060647569
283,-11.25,11.75,0.55,-11.25,0,0.014690049
284,-11.25,11.75,0.55,-11.25,0,0.670105934
285,-11.25,11.75,0.55,-11.25,0,0.994120295
286,-11.25,11.75,0.55,-11.25,0,0.146242217
287,-11.25,11.75,0.55,-11.25,0,0.048243109
288,-11.25,11.75,0.55,-11.25,0,0.130786519
289,-11.25,11.75,0.55,-11.25,0,0.60219512
290,-11.25,11.75,0.55,-11.25,0,0.516505077
291,-11.25,11.75,0.55,-11.25,0,0.234247006
292,-11.25,11.75,0.55,-11.25,0,0.875422113
293,-11.25,11.75,0.55,-11.25,0,0.666179761
294,-11.25,11.75,0.55,-11.25,0,0.119253417
295,-11.25,11.75,0.55,-11.25,0,0.025612478
296,-11.25,11.75,0.55,-11.25,0,0.137848712
297,-11.25,11.75,0.55,-11.25,0,0.258826478
298,-11.25,11.75,0.55,-11.25,0,0.740318712
299,-11.25,11.75,0.55,-11.25,0,0.167144359
300,-11.25,11.75,0.55,-11.25,0,0.304630492
301,-11.25,11.75,0.55,-11.25,0,0.611471915
302,-11.25,11.75,0.55,-11.25,0,0.834800288
303,-11.25,11.75,0.55,-11.25,0,0.720335737
304,-11.25,11.75,0.55,-11.25,0,0.072359022
305,-11.25,11.75,0.55,-11.25,0,0.523455862
306,-11.25,11.75,0.55,-11.25,0,0.808041659
307,-11.25,11.75,0.55,-11.25,0,0.016299593
308,-11.25,11.75,0.55,-11.25,0,0.610456652
309,-11.25,11.75,0.55,-11.25,0,0.045052071
310,-11.25,11.75,0.55,-11.25,0,0.206705217
311,-11.25,11.75,0.55,-11.25,0,0.307516062
312,-11.25,11.75,0.55,-11.25,0,0.149881768
313,-11.25,11.75,0.56,-11.25,0,0.166690466
314,-11.25,11.75,0.56,-11.25,0,0.164638837
315,-11.25,11.75,0.55,-11.25,0,0.044283074
316,-11.25,11.75,0.56,-11.25,0,0.812356191
317,-11.25,11.75,0.56,-11.25,0,0.940602176
318,-11.25,11.75,0.56,-11.25,0,0.286281244
319,-11.25,11.75,0.56,-11.25,0,0.108244276
320,-11.25,11.75,0.56,-11.25,0,0.373729635
321,-11.25,11.75,0.56,-11.25,0,0.414947901
322,-11.25,11.75,0.56,-11.25,0,0.256829863
323,-11.25,11.75,0.56,-11.25,0,0.90715295
324,-11.25,11.75,0.56,-11.25,0,0.733232171
325,-11.25,11.75,0.56,-11.25,0,0.516765474
326,-11.25,11.75,0.56,-11.25,0,0.489781664
327,-11.25,11.75,0.56,-11.25,0,0.918673417
328,-11.25,11.75,0.56,-11.25,0,0.710773245
329,-11.25,11.75,0.56,-11.25,0,0.728088364
330,-11.25,11.75,0.56,-11.25,0,0.674734628
331,-11.25,11.75,0.56,-11.25,0,0.310984077
332,-11.25,11.75,0.56,-11.25,0,0.27622559
333,-11.25,11.75,0.56,-11.25,0,0.959423784
334,-11.25,11.75,0.56,-11.25,0,0.707518901
335,-11.25,11.75,0.56,-11.25,0,0.946309321
336,-11.25,11.75,0.56,-11.25,0,0.433481974
337,-11.25,11.75,0.56,-11.25,0,0.254824686
338,-11.25,11.75,0.56,-11.25,0,0.908551611
339,-11.25,11.75,0.56,-11.25,0,0.487167449
340,-11.25,11.75,0.56,-11.25,0,0.980628864
341,-11.19,11.86,0.56,-11.19,0,0.536469624
342,-11.19,11.86,0.56,-11.19,0,0.22021421
343,-11.25,11.75,0.56,-11.25,0,0.39037787
344,-11.25,11.75,0.56,-11.25,0,0.163837934
345,-11.25,11.75,0.56,-11.25,0,0.919111858
346,-11.25,11.75,0.56,-11.25,0,0.183565874
347,-11.25,11.75,0.56,-11.25,0,0.676851245
348,-11.25,11.75,0.56,-11.25,0,0.121857124
349,-11.25,11.75,0.56,-11.25,0,0.650196121
350,-11.25,11.75,0.56,-11.25,0,0.128362605
351,-11.25,11.75,0.56,-11.25,0,0.68463299
352,-11.25,11.75,0.56,-11.25,0,0.193522695
353,-11.25,11.75,0.56,-11.25,0,0.98836646
354,-11.25,11.75,0.56,-11.25,0,0.576708947
355,-11.25,11.75,0.56,-11.25,0,0.749161001
356,-11.25,11.75,0.56,-11.25,0,0.504925534
357,-11.25,11.75,0.56,-11.25,0,0.470589504
358,-11.25,11.75,0.56,-11.25,0,0.593372065
359,-11.25,11.75,0.56,-11.25,0,0.016510848
360,-11.25,11.75,0.56,-11.25,0,0.209596199
361,-11.25,11.75,0.56,-11.25,0,0.573040183
362,-11.25,11.75,0.56,-11.25,0,0.29530696
363,-11.19,11.86,0.56,-11.19,0,0.246991269
364,-11.25,11.75,0.56,-11.25,0,0.437553187
365,-11.25,11.75,0.56,-11.25,0,0.384594937
366,-11.25,11.75,0.56,-11.25,0,0.927934946
367,-11.19,11.86,0.56,-11.19,0,0.333130147
368,-11.25,11.75,0.56,-11.25,0,0.612320159
369,-11.19,11.86,0.56,-11.19,0,0.629365488
370,-11.25,11.75,0.56,-11.25,0,0.505828524
371,-11.19,11.86,0.56,-11.19,0,0.804339017
372,-11.25,11.75,0.56,-11.25,0,0.108018843
373,-11.25,11.75,0.56,-11.25,0,0.969325717
374,-11.25,11.75,0.56,-11.25,0,0.975478466
375,-11.25,11.75,0.57,-11.25,0,0.574821734
376,-11.25,11.75,0.57,-11.25,0,0.903212055
377,-11.25,11.75,0.57,-11.25,0,0.189061924
378,-11.25,11.75,0.57,-11.25,0,0.154970228
379,-11.19,11.86,0.57,-11.19,0,0.195920641
380,-11.25,11.75,0.57,-11.25,0,0.035368112
381,-11.19,11.86,0.57,-11.19,0,0.433275653
382,-11.25,11.75,0.57,-11.25,0,0.98653814
383,-11.25,11.75,0.57,-11.25,0,0.628483173
384,-11.19,11.86,0.57,-11.19,0,0.691131973
385,-11.19,11.86,0.57,-11.19,0,0.488447394
386,-11.25,11.75,0.57,-11.25,0,0.977912854
387,-11.25,11.75,0.57,-11.25,0,0.989358262
388,-11.25,11.75,0.57,-11.25,0,0.691671528
389,-11.19,11.86,0.57,-11.19,0,0.869238334
390,-11.19,11.86,0.57,-11.19,0,0.85310924
391,-11.19,11.86,0.57,-11.19,0,0.761615528
392,-11.25,11.75,0.57,-11.25,0,0.049555691
393,-11.25,11.75,0.57,-11.25,0,0.587590357
394,-11.25,11.75,0.57,-11.25,0,0.284653821
395,-11.25,11.75,0.57,-11.25,0,0.692121932
396,-11.19,11.86,0.57,-11.19,0,0.644685597
397,-11.25,11.75,0.57,-11.25,0,0.220366354
398,-11.19,11.86,0.57,-11.19,0,0.555360052
399,-11.25,11.75,0.57,-11.25,0,0.404455777
400,-11.19,11.86,0.57,-11.19,0,0.446933482
401,-11.19,11.86,0.57,-11.19,0,0.499150546
402,-11.19,11.86,0.57,-11.19,0,0.831973664
403,-11.19,11.86,0.57,-11.19,0,0.316813429
404,-11.19,11.86,0.57,-11.19,0,0.782064125
405,-11.19,11.86,0.57,-11.19,0,0.352597899
406,-11.25,11.75,0.57,-11.25,0,0.278943464
407,-11.19,11.86,0.57,-11.19,0,0.72580994
408,-11.19,11.86,0.57,-11.19,0,0.49411464
409,-11.19,11.86,0.57,-11.19,0,0.529085004
410,-11.19,11.86,0.57,-11.19,0,0.426017936
411,-11.25,11.75,0.57,-11.25,0,0.320221458
412,-11.19,11.86,0.57,-11.19,0,0.517802429
413,-11.19,11.86,0.57,-11.19,0,0.951672477
414,-11.19,11.86,0.57,-11.19,0,0.26774262
415,-11.19,11.86,0.57,-11.19,0,0.162688918
416,-11.19,11.86,0.57,-11.19,0,0.283379098
417,-11.25,11.75,0.57,-11.25,0,0.436851105
418,-11.19,11.86,0.57,-11.19,0,0.375481366
419,-11.19,11.86,0.57,-11.19,0,0.635599653
420,-11.25,11.75,0.56,-11.25,0,0.355964276
